,age,duree_paiement,taux,duree_rente,type_prime,produit
79,58,6,0.051179317634943204,3,MENSUEL,NSIA-ETUDES
80,59,6,0.051749086563372834,3,MENSUEL,NSIA-ETUDES
81,60,6,0.0523675883004475,3,MENSUEL,NSIA-ETUDES
82,20,7,0.038704731291518246,3,MENSUEL,NSIA-ETUDES
83,21,7,0.038725056584165966,3,MENSUEL,NSIA-ETUDES
84,22,7,0.03874262977774684,3,MENSUEL,NSIA-ETUDES
85,23,7,0.03876132455081365,3,MENSUEL,NSIA-ETUDES
86,24,7,0.03878264505202092,3,MENSUEL,NSIA-ETUDES
87,25,7,0.03880601194684025,3,MENSUEL,NSIA-ETUDES
88,26,7,0.038831745878795496,3,MENSUEL,NSIA-ETUDES
89,27,7,0.03885857043856778,3,MENSUEL,NSIA-ETUDES
90,28,7,0.03888752538104114,3,MENSUEL,NSIA-ETUDES
91,29,7,0.038920868265261976,3,MENSUEL,NSIA-ETUDES
92,30,7,0.03895989280360431,3,MENSUEL,NSIA-ETUDES
93,31,7,0.03900806644739614,3,MENSUEL,NSIA-ETUDES
94,32,7,0.03906941652160851,3,MENSUEL,NSIA-ETUDES
95,33,7,0.03914296003686212,3,MENSUEL,NSIA-ETUDES
96,34,7,0.03922794026497557,3,MENSUEL,NSIA-ETUDES
97,35,7,0.03932199164796326,3,MENSUEL,NSIA-ETUDES
98,36,7,0.03942962638141501,3,MENSUEL,NSIA-ETUDES
99,37,7,0.039551070124875624,3,MENSUEL,NSIA-ETUDES
100,38,7,0.0396896556603535,3,MENSUEL,NSIA-ETUDES
101,39,7,0.03984604185791562,3,MENSUEL,NSIA-ETUDES
102,40,7,0.040019233111898644,3,MENSUEL,NSIA-ETUDES
103,41,7,0.04020703541856258,3,MENSUEL,NSIA-ETUDES
104,42,7,0.04040261116167505,3,MENSUEL,NSIA-ETUDES
105,43,7,0.04060572892041956,3,MENSUEL,NSIA-ETUDES
106,44,7,0.04081222482827619,3,MENSUEL,NSIA-ETUDES
107,45,7,0.04101953792533812,3,MENSUEL,NSIA-ETUDES
108,46,7,0.0412247252127123,3,MENSUEL,NSIA-ETUDES
